AWND,PRCP,TMAX,TMIN,date
1.8,0.0,26.7,15.6,2015-11-01
5.1,0.8,21.7,14.4,2015-11-02
3.4,0.0,20.0,12.2,2015-11-03
3.7,0.0,19.4,10.0,2015-11-04
3.2,0.0,22.2,10.6,2015-11-05
1.7,0.0,22.8,11.7,2015-11-06
2.5,0.0,26.7,12.2,2015-11-07
2.4,0.0,23.3,12.2,2015-11-08
6.0,0.3,20.0,12.8,2015-11-09
5.1,0.0,19.4,12.2,2015-11-10
2.2,0.0,21.1,8.9,2015-11-11
2.1,0.0,23.9,9.4,2015-11-12
2.5,0.0,25.6,11.7,2015-11-13
2.2,0.0,23.9,10.6,2015-11-14
6.0,0.0,19.4,10.6,2015-11-15
7.6,0.0,17.8,11.1,2015-11-16
2.4,0.0,21.7,8.3,2015-11-17
1.8,0.0,21.1,9.4,2015-11-18
1.6,0.0,27.8,11.7,2015-11-19
1.7,0.0,27.2,12.8,2015-11-20
2.2,0.0,31.7,15.0,2015-11-21
2.7,0.0,30.0,15.6,2015-11-22
2.6,0.0,25.0,13.3,2015-11-23
3.0,0.5,18.9,12.8,2015-11-24
6.5,0.0,16.7,11.1,2015-11-25
2.2,0.0,17.8,8.9,2015-11-26
2.8,0.0,18.3,9.4,2015-11-27
1.9,0.0,18.9,7.8,2015-11-28
3.1,0.0,20.0,10.0,2015-11-29
2.3,0.0,18.9,7.2,2015-11-30
3.1,0.0,20.0,13.3,2016-11-01
2.5,0.0,22.8,12.2,2016-11-02
2.6,0.0,30.6,14.4,2016-11-03
2.4,0.0,25.6,15.0,2016-11-04
2.8,0.0,23.3,13.9,2016-11-05
2.3,0.0,22.2,13.3,2016-11-06
2.5,0.0,21.7,13.3,2016-11-07
2.3,0.0,26.7,13.3,2016-11-08
3.1,0.0,34.4,18.3,2016-11-09
2.5,0.0,32.8,17.2,2016-11-10
2.7,0.0,30.6,17.2,2016-11-11
2.2,0.0,27.2,16.7,2016-11-12
2.8,0.0,30.0,16.1,2016-11-13
2.5,0.0,29.4,15.6,2016-11-14
2.4,0.0,23.3,13.3,2016-11-15
3.6,0.0,20.0,13.3,2016-11-16
3.1,0.0,22.2,10.6,2016-11-17
2.6,0.0,25.0,12.8,2016-11-18
2.8,0.0,21.7,11.1,2016-11-19
1.9,12.7,17.8,13.3,2016-11-20
4.1,7.4,17.8,13.3,2016-11-21
2.6,0.0,19.4,11.7,2016-11-22
2.6,0.0,22.2,10.6,2016-11-23
3.2,0.0,26.7,10.6,2016-11-24
2.3,0.0,24.4,10.6,2016-11-25
2.8,6.4,16.7,8.3,2016-11-26
4.6,1.8,17.8,10.0,2016-11-27
2.5,0.0,16.7,8.3,2016-11-28
2.4,0.0,20.0,8.9,2016-11-29
2.9,0.0,19.4,8.9,2016-11-30
3.1,0.0,20.6,17.8,2017-11-01
3.1,1.8,20.0,14.4,2017-11-02
3.6,0.5,21.7,15.0,2017-11-03
4.4,0.0,20.6,13.9,2017-11-04
3.1,0.0,20.6,15.6,2017-11-05
3.3,0.0,20.6,15.0,2017-11-06
2.8,0.0,22.2,15.0,2017-11-07
4.1,0.0,23.3,13.9,2017-11-08
4.4,0.0,21.1,15.6,2017-11-09
3.0,0.0,20.6,13.9,2017-11-10
2.6,0.0,21.1,12.8,2017-11-11
2.4,0.0,20.0,13.3,2017-11-12
2.1,0.0,21.1,12.2,2017-11-13
2.5,0.0,23.3,12.2,2017-11-14
2.3,0.0,24.4,13.9,2017-11-15
2.6,0.0,24.4,14.4,2017-11-16
4.1,0.0,21.1,15.6,2017-11-17
2.6,0.0,24.4,12.8,2017-11-18
2.9,0.0,24.4,13.3,2017-11-19
2.1,0.0,22.2,11.1,2017-11-20
2.3,0.0,26.1,14.4,2017-11-21
1.7,0.0,34.4,16.7,2017-11-22
2.8,0.0,32.8,17.8,2017-11-23
2.0,0.0,27.8,14.4,2017-11-24
2.2,0.0,27.8,15.0,2017-11-25
3.1,0.0,18.3,15.0,2017-11-26
4.1,0.3,19.4,13.3,2017-11-27
2.6,0.0,25.0,10.0,2017-11-28
2.1,0.0,23.3,12.2,2017-11-29
2.3,0.0,22.2,11.1,2017-11-30
3.0,0.0,27.2,13.9,2018-11-01
2.7,0.0,30.0,15.0,2018-11-02
2.0,0.0,27.2,15.6,2018-11-03
2.2,0.0,25.0,15.6,2018-11-04
3.0,0.0,23.3,16.7,2018-11-05
3.1,0.0,22.8,18.3,2018-11-06
3.1,0.0,21.1,16.1,2018-11-07
2.1,0.0,22.2,15.0,2018-11-08
1.4,0.0,28.9,10.0,2018-11-09
2.8,0.0,25.0,13.3,2018-11-10
2.4,0.0,25.6,10.0,2018-11-11
2.3,0.0,25.0,10.0,2018-11-12
1.8,0.0,25.0,11.1,2018-11-13
2.4,0.0,26.7,13.9,2018-11-14
2.6,0.0,26.1,12.2,2018-11-15
2.4,0.0,24.4,12.2,2018-11-16
2.4,0.0,21.1,14.4,2018-11-17
2.4,0.0,21.7,13.9,2018-11-18
2.2,0.0,21.1,11.7,2018-11-19
2.1,0.0,21.7,11.7,2018-11-20
2.5,0.3,21.1,12.8,2018-11-21
4.1,14.0,19.4,13.9,2018-11-22
2.6,0.0,19.4,12.8,2018-11-23
2.3,0.0,20.6,12.2,2018-11-24
3.2,0.0,23.9,13.9,2018-11-25
2.6,0.0,25.0,12.8,2018-11-26
2.6,0.0,23.3,13.3,2018-11-27
2.6,1.0,20.0,12.8,2018-11-28
6.7,37.8,18.9,13.3,2018-11-29
3.8,0.0,18.3,12.2,2018-11-30
3.3,0.0,27.8,11.7,2019-11-01
